dered_ug,dered_gr,dered_ri,dered_iz,source_class
0.8343226,0.2261008,0.04155436,0.15052190000000001,star
1.359213,0.5264024,0.1647188,0.0692003,star
1.6593099999999998,0.6290919,0.219615,0.1209982,star
2.168641,0.8878118,0.2985874,0.1704888,star
2.208127,1.0039,0.3465442,0.22080570000000002,star
2.294258,1.3698860000000002,1.1893770000000001,0.6264508000000001,star
1.15967,0.3926755,0.167216,0.05176866,star
1.371281,0.5110395999999999,0.2090019,0.02277394,star
2.575854,1.378309,0.6416879,0.3510761,star
3.15651,1.392559,0.6438798000000001,0.3326708,star
1.7996599999999998,0.809858,0.3792625,0.20848070000000002,star
0.48098640000000004,0.2079471,0.0432086,0.11619769999999999,star
0.9286745000000001,0.08160314,-0.0596927,-0.1472841,star
1.140929,0.2524588,0.1293037,-0.449204,star
0.7019784,0.2324587,0.2235235,-0.2001063,star
0.9865885,0.1893646,0.10659360000000001,-0.02896053,star
0.8191113,0.2608549,0.1383147,-0.04584927,star
0.3033876,0.06621254,-0.1094492,0.399226,star
2.4390490000000002,1.338897,0.7538260999999999,0.3835768,star
2.517871,1.439661,0.8241484,0.47122890000000006,star
1.5822100000000001,0.49421099999999996,0.1829779,0.04465052,star
0.7630311,-0.269255,-0.2489569,-0.1577461,star
0.8702298,-0.2940446,-0.24128840000000001,-0.1988512,star
2.013769,1.24111,0.7175326999999999,0.36650170000000004,star
2.051643,1.327473,0.5792562,0.2742055,star
1.96514,0.7964199000000001,0.2717434,0.1360914,star
1.08253,1.379043,1.475842,0.7800151,star
0.9979798000000001,0.41538990000000003,0.12206989999999998,0.01153134,star
1.603805,0.07437724,0.1911226,0.4024145,star
1.781267,0.665112,0.20206,0.06591274,star
1.141916,0.4154535,0.1112866,0.02462885,star
0.9787893,-0.04938337,-0.1661157,-0.0232195,star
2.270443,0.9586985,0.3525873,0.1897013,star
1.210633,0.38026950000000004,0.1207671,0.0343772,star
1.185732,0.3461252,0.06401822,0.24558490000000002,star
0.9834124,0.06854844,0.01501977,0.3648918,star
1.034305,1.7050400000000001,1.120096,0.6372220999999999,star
2.361765,0.9800360999999999,0.3619549,0.1652684,star
1.093324,0.44565379999999993,0.1519235,0.02982679,star
2.556807,1.290719,0.5588408,0.2748134,star
1.254617,-0.03996024,-0.13699129999999998,-0.05525398,star
0.8953639999999999,0.09219685,0.03870818,0.005360946,star
2.878883,1.5229629999999998,1.2565790000000001,0.6639391,star
1.3992280000000001,0.5764474,0.20594459999999998,0.07952712,star
1.224378,0.4519652,0.1471482,0.04869717,star
1.340257,0.5120260999999999,0.1833731,0.07811813,star
0.8451706,0.3432716,0.08410335,0.02938975,star
1.378694,0.5375115,0.1712644,0.047608,star
2.079271,0.8513794,0.28590370000000004,0.1428804,star
0.9241905999999999,0.2223904,0.05369592,-0.04407892,star
0.9664758,0.2893289,0.0514991,-0.02493533,star
0.3578835,0.12005489999999999,0.10725719999999998,0.292799,star
0.35017259999999995,0.5771393,0.20375870000000001,0.29387859999999993,star
1.767281,1.2955459999999999,0.7174418,0.4294041,star
2.057142,1.109073,0.3718588,0.2882558,star
2.8521970000000003,1.328905,0.5656329000000001,0.2914913,star
1.18109,0.45201309999999995,0.13813,0.04044159,star
